"","chr","chromStart","chromEnd","hgnc_symbol","ensembl_gene_id","strand"
"3010","1",69091,70008,"OR4F5","ENSG00000186092",1
"3014","1",134901,139379,"AL627309.1","ENSG00000237683",-1
"3018","1",367640,368634,"OR4F29","ENSG00000235249",1
"3022","1",621059,622053,"OR4F16","ENSG00000185097",-1
"3042","1",860260,879955,"SAMD11","ENSG00000187634",1
"3244","1",879584,894689,"NOC2L","ENSG00000188976",-1
"3311","1",895967,901095,"KLHL17","ENSG00000187961",1
"3367","1",901877,911245,"PLEKHN1","ENSG00000187583",1
"3427","1",910579,917497,"C1orf170","ENSG00000187642",-1
"3482","1",934342,935552,"HES4","ENSG00000188290",-1
"3500","1",948803,949920,"ISG15","ENSG00000187608",1
"3525","1",955503,991496,"AGRN","ENSG00000188157",1
"3730","1",1006346,1009687,"RNF223","ENSG00000237330",-1
"3780","1",1017198,1051741,"C1orf159","ENSG00000131591",-1
"4002","1",1109264,1133315,"TTLL10","ENSG00000162571",1
"4191","1",1138888,1142071,"TNFRSF18","ENSG00000186891",-1
"4220","1",1146706,1149518,"TNFRSF4","ENSG00000186827",-1
"4251","1",1152288,1167411,"SDF4","ENSG00000078808",-1
"4426","1",1167629,1170421,"B3GALT6","ENSG00000176022",1
"4433","1",1177826,1182102,"FAM132A","ENSG00000184163",-1
"4486","1",1189289,1209265,"UBE2J2","ENSG00000160087",-1
"4736","1",1215816,1227409,"SCNN1D","ENSG00000162572",1
"4899","1",1227756,1244989,"ACAP3","ENSG00000131584",-1
"5134","1",1243947,1247057,"PUSL1","ENSG00000169972",1
"5378","1",1246965,1260071,"CPSF3L","ENSG00000127054",-1
"5795","1",1260136,1264277,"GLTPD1","ENSG00000224051",1
"5846","1",1266694,1270686,"TAS1R3","ENSG00000169962",1
"5872","1",1270656,1284730,"DVL1","ENSG00000107404",-1
"6060","1",1288069,1297157,"MXRA8","ENSG00000162576",-1
"6149","1",1309110,1310875,"AURKAIP1","ENSG00000175756",-1
"6316","1",1321091,1334708,"CCNL2","ENSG00000221978",-1
"6507","1",1337288,1342693,"MRPL20","ENSG00000242485",-1
"6556","1",1353800,1357149,"ANKRD65","ENSG00000235098",-1
"6626","1",1361508,1363167,"TMEM88B","ENSG00000205116",1
"6630","1",1370241,1378262,"VWA1","ENSG00000179403",1
"6649","1",1385069,1405538,"ATAD3C","ENSG00000215915",1
"6670","1",1407143,1433228,"ATAD3B","ENSG00000160072",1
"6900","1",1447531,1470067,"ATAD3A","ENSG00000197785",1
"6972","1",1470554,1475833,"TMEM240","ENSG00000205090",-1
"6980","1",1477053,1510249,"SSU72","ENSG00000160075",-1
"7024","1",1510355,1511373,"AL645728.1","ENSG00000215014",1
"7027","1",1533392,1535476,"C1orf233","ENSG00000228594",-1
"7197","1",1550795,1565990,"MIB2","ENSG00000197530",1
