"","X","chr","chromStart","chromEnd","hgnc_symbol","ensembl_gene_id","strand"
"18",4251,"1",1152288,1167411,"SDF4","ENSG00000078808",-1
"21",4486,"1",1189289,1209265,"UBE2J2","ENSG00000160087",-1
"25",5378,"1",1246965,1260071,"CPSF3L","ENSG00000127054",-1
"29",6060,"1",1288069,1297157,"MXRA8","ENSG00000162576",-1
"30",6149,"1",1309110,1310875,"AURKAIP1","ENSG00000175756",-1
"31",6316,"1",1321091,1334708,"CCNL2","ENSG00000221978",-1
"32",6507,"1",1337288,1342693,"MRPL20","ENSG00000242485",-1
"40",6980,"1",1477053,1510249,"SSU72","ENSG00000160075",-1
"46",7949,"1",1592939,1624167,"SLC35E2B","ENSG00000189339",-1
"47",8059,"1",1634169,1655766,"CDK11A","ENSG00000008128",-1
"48",8368,"1",1656277,1677431,"SLC35E2","ENSG00000215790",-1
"49",8659,"1",1682671,1711896,"NADK","ENSG00000008130",-1
"50",8707,"1",1716729,1822495,"GNB1","ENSG00000078369",-1
"55",8877,"1",1981909,2116834,"PRKCZ","ENSG00000067606",1
"58",9158,"1",2160134,2241558,"SKI","ENSG00000157933",1
"60",9260,"1",2323267,2336883,"RER1","ENSG00000157916",1
"65",9636,"1",2487078,2496821,"TNFRSF14","ENSG00000157873",1
"73",10265,"1",3541566,3546691,"TPRG1L","ENSG00000158109",1
"78",10600,"1",3696784,3713068,"LRRC47","ENSG00000130764",-1
"79",10628,"1",3728645,3773778,"CEP104","ENSG00000116198",-1
"84",11198,"1",6051526,6161253,"KCNAB2","ENSG00000069424",1
"86",11505,"1",6241329,6269449,"RPL22","ENSG00000116251",-1
"88",11650,"1",6281253,6296032,"ICMT","ENSG00000116237",-1
"96",12456,"1",6581407,6614595,"NOL9","ENSG00000162408",-1
"101",12662,"1",6684926,6695646,"THAP3","ENSG00000041988",1
"102",12697,"1",6694228,6761984,"DNAJC11","ENSG00000007923",-1
"103",12779,"1",6845384,7829766,"CAMTA1","ENSG00000171735",1
"104",12830,"1",7831329,7841492,"VAMP3","ENSG00000049245",1
"108",12944,"1",8014351,8045565,"PARK7","ENSG00000116288",1
"109",13021,"1",8064464,8086368,"ERRFI1","ENSG00000116285",-1
"111",13060,"1",8412457,8877702,"RERE","ENSG00000142599",-1
"112",13150,"1",8921061,8939308,"ENO1","ENSG00000074800",-1
"123",13683,"1",9789084,9884584,"CLSTN1","ENSG00000171603",-1
"125",13834,"1",9982173,10003465,"LZIC","ENSG00000162441",-1
"128",13928,"1",10092890,10241297,"UBE4B","ENSG00000130939",1
"129",14085,"1",10270863,10441661,"KIF1B","ENSG00000054523",1
"130",14238,"1",10458649,10480201,"PGD","ENSG00000142657",1
"131",14257,"1",10490159,10512210,"APITD1","ENSG00000175279",1
"134",14327,"1",10516579,10532583,"DFFA","ENSG00000160049",-1
"135",14335,"1",10532345,10690815,"PEX14","ENSG00000142655",1
"138",14473,"1",11072414,11085796,"TARDBP","ENSG00000120948",1
"140",14594,"1",11114641,11120081,"SRM","ENSG00000116649",-1
"141",14632,"1",11126675,11159938,"EXOSC10","ENSG00000171824",-1
"142",14715,"1",11166592,11322564,"MTOR","ENSG00000198793",-1
"151",15243,"1",11796141,11814859,"AGTRAP","ENSG00000177674",1
"158",15446,"1",11994262,12035595,"PLOD1","ENSG00000083444",1
"159",15574,"1",12040238,12073571,"MFN2","ENSG00000116688",1
"163",15785,"1",12290124,12572099,"VPS13D","ENSG00000048707",1
"164",15899,"1",12627939,12677737,"DHRS3","ENSG00000162496",-1
"192",16156,"1",13909960,13944452,"PDPN","ENSG00000162493",1
"193",16188,"1",14026693,14151574,"PRDM2","ENSG00000116731",1
"203",16706,"1",15853308,15918874,"DNAJC16","ENSG00000116138",1
"205",16731,"1",15943995,15995539,"DDI2","ENSG00000197312",1
"209",16880,"1",16083102,16113089,"FBLIM1","ENSG00000162458",1
"210",16910,"1",16174359,16266955,"SPEN","ENSG00000065526",1
"222",17259,"1",16679070,16724640,"SZRD1","ENSG00000055070",1
"224",17330,"1",16767167,16786573,"NECAP2","ENSG00000157191",1
"226",17367,"1",16888814,16940057,"NBPF1","ENSG00000219481",-1
"230",17491,"1",17300997,17307330,"MFAP2","ENSG00000117122",-1
"231",17518,"1",17312453,17338423,"ATP13A2","ENSG00000159363",-1
