"chr" "chromStart" "chromEnd" "hgnc_symbol" "ensembl_gene_id" "strand"
"1" "chr1" 69091 70008 "OR4F5" "ENSG00000186092" 1
"2" "chr1" 134901 139379 "AL627309.1" "ENSG00000237683" -1
"3" "chr1" 367640 368634 "OR4F29" "ENSG00000235249" 1
"4" "chr1" 621059 622053 "OR4F16" "ENSG00000185097" -1
"5" "chr1" 860260 879955 "SAMD11" "ENSG00000187634" 1
"6" "chr1" 879584 894689 "NOC2L" "ENSG00000188976" -1
"7" "chr1" 895967 901095 "KLHL17" "ENSG00000187961" 1
"8" "chr1" 901877 911245 "PLEKHN1" "ENSG00000187583" 1
"9" "chr1" 910579 917497 "C1orf170" "ENSG00000187642" -1
"10" "chr1" 934342 935552 "HES4" "ENSG00000188290" -1
"11" "chr1" 948803 949920 "ISG15" "ENSG00000187608" 1
"12" "chr1" 955503 991496 "AGRN" "ENSG00000188157" 1
"13" "chr1" 1006346 1009687 "RNF223" "ENSG00000237330" -1
"14" "chr1" 1017198 1051741 "C1orf159" "ENSG00000131591" -1
"15" "chr1" 1109264 1133315 "TTLL10" "ENSG00000162571" 1
"16" "chr1" 1138888 1142071 "TNFRSF18" "ENSG00000186891" -1
"17" "chr1" 1146706 1149518 "TNFRSF4" "ENSG00000186827" -1
"19" "chr1" 1167629 1170421 "B3GALT6" "ENSG00000176022" 1
"20" "chr1" 1177826 1182102 "FAM132A" "ENSG00000184163" -1
"22" "chr1" 1215816 1227409 "SCNN1D" "ENSG00000162572" 1
"23" "chr1" 1227756 1244989 "ACAP3" "ENSG00000131584" -1
"24" "chr1" 1243947 1247057 "PUSL1" "ENSG00000169972" 1
"26" "chr1" 1260136 1264277 "GLTPD1" "ENSG00000224051" 1
"27" "chr1" 1266694 1270686 "TAS1R3" "ENSG00000169962" 1
"28" "chr1" 1270656 1284730 "DVL1" "ENSG00000107404" -1
"33" "chr1" 1353800 1357149 "ANKRD65" "ENSG00000235098" -1
"34" "chr1" 1361508 1363167 "TMEM88B" "ENSG00000205116" 1
"35" "chr1" 1370241 1378262 "VWA1" "ENSG00000179403" 1
"36" "chr1" 1385069 1405538 "ATAD3C" "ENSG00000215915" 1
"37" "chr1" 1407143 1433228 "ATAD3B" "ENSG00000160072" 1
"38" "chr1" 1447531 1470067 "ATAD3A" "ENSG00000197785" 1
"39" "chr1" 1470554 1475833 "TMEM240" "ENSG00000205090" -1
"41" "chr1" 1510355 1511373 "AL645728.1" "ENSG00000215014" 1
"42" "chr1" 1533392 1535476 "C1orf233" "ENSG00000228594" -1
"43" "chr1" 1550795 1565990 "MIB2" "ENSG00000197530" 1
"44" "chr1" 1567474 1570639 "MMP23B" "ENSG00000189409" 1
"45" "chr1" 1570603 1590473 "CDK11B" "ENSG00000248333" -1
"51" "chr1" 1846266 1848735 "CALML6" "ENSG00000169885" 1
"52" "chr1" 1849029 1850712 "TMEM52" "ENSG00000178821" -1
"53" "chr1" 1853396 1935276 "C1orf222" "ENSG00000142609" -1
"54" "chr1" 1950780 1962192 "GABRD" "ENSG00000187730" 1
"56" "chr1" 2115903 2144159 "C1orf86" "ENSG00000162585" -1
"59" "chr1" 2252692 2323146 "MORN1" "ENSG00000116151" -1
"61" "chr1" 2336236 2345236 "PEX10" "ENSG00000157911" -1
"62" "chr1" 2357419 2436969 "PLCH2" "ENSG00000149527" 1
"63" "chr1" 2439972 2458039 "PANK4" "ENSG00000157881" -1
"64" "chr1" 2460184 2461684 "HES5" "ENSG00000197921" -1
"66" "chr1" 2517930 2522908 "FAM213B" "ENSG00000157870" 1
"67" "chr1" 2522078 2564481 "MMEL1" "ENSG00000142606" -1
"68" "chr1" 2567415 2718286 "TTC34" "ENSG00000215912" -1
"69" "chr1" 2938046 2939465 "ACTRT2" "ENSG00000169717" 1
"70" "chr1" 2985732 3355185 "PRDM16" "ENSG00000142611" 1
"71" "chr1" 3370990 3397677 "ARHGEF16" "ENSG00000130762" 1
"72" "chr1" 3406484 3528059 "MEGF6" "ENSG00000162591" -1
"74" "chr1" 3547331 3569325 "WRAP73" "ENSG00000116213" -1
"75" "chr1" 3569084 3652765 "TP73" "ENSG00000078900" 1
"76" "chr1" 3668962 3688209 "CCDC27" "ENSG00000162592" 1
"77" "chr1" 3689352 3692546 "SMIM1" "ENSG00000235169" 1
"80" "chr1" 3773845 3801993 "DFFB" "ENSG00000169598" 1
"81" "chr1" 3805689 3816857 "C1orf174" "ENSG00000198912" -1
"82" "chr1" 4714792 4852594 "AJAP1" "ENSG00000196581" 1
"83" "chr1" 5922871 6052533 "NPHP4" "ENSG00000131697" -1
"85" "chr1" 6161853 6240183 "CHD5" "ENSG00000116254" -1
"87" "chr1" 6265535 6281359 "RNF207" "ENSG00000158286" 1
"89" "chr1" 6304252 6305638 "HES3" "ENSG00000173673" 1
"90" "chr1" 6307406 6321035 "GPR153" "ENSG00000158292" -1
"91" "chr1" 6324329 6454451 "ACOT7" "ENSG00000097021" -1
"92" "chr1" 6472478 6484730 "HES2" "ENSG00000069812" -1
"93" "chr1" 6484848 6521430 "ESPN" "ENSG00000187017" 1
"94" "chr1" 6521211 6526255 "TNFRSF25" "ENSG00000215788" -1
"95" "chr1" 6526152 6580121 "PLEKHG5" "ENSG00000171680" -1
"97" "chr1" 6615241 6639817 "TAS1R1" "ENSG00000173662" 1
"98" "chr1" 6640061 6649340 "ZBTB48" "ENSG00000204859" 1
"99" "chr1" 6650784 6674667 "KLHL21" "ENSG00000162413" -1
"100" "chr1" 6673745 6684093 "PHF13" "ENSG00000116273" 1
"105" "chr1" 7844380 7905237 "PER3" "ENSG00000049246" 1
"106" "chr1" 7903143 7913572 "UTS2" "ENSG00000049247" -1
"107" "chr1" 7979907 8000926 "TNFRSF9" "ENSG00000049249" -1
"110" "chr1" 8377886 8404227 "SLC45A1" "ENSG00000162426" 1
"113" "chr1" 9005926 9035151 "CA6" "ENSG00000131686" 1
"114" "chr1" 9063359 9086404 "SLC2A7" "ENSG00000197241" -1
"115" "chr1" 9095166 9148537 "SLC2A5" "ENSG00000142583" -1
"116" "chr1" 9160364 9189229 "GPR157" "ENSG00000180758" -1
"117" "chr1" 9294834 9331396 "H6PD" "ENSG00000049239" 1
"118" "chr1" 9352939 9429591 "SPSB1" "ENSG00000171621" 1
"119" "chr1" 9599541 9645237 "SLC25A33" "ENSG00000171612" 1
"120" "chr1" 9648932 9674935 "TMEM201" "ENSG00000188807" 1
"121" "chr1" 9711790 9789172 "PIK3CD" "ENSG00000171608" 1
"122" "chr1" 9712668 9714644 "C1orf200" "ENSG00000179840" -1
"124" "chr1" 9908334 9970394 "CTNNBIP1" "ENSG00000178585" -1
"126" "chr1" 10003486 10045559 "NMNAT1" "ENSG00000173614" 1
"127" "chr1" 10057264 10076078 "RBP7" "ENSG00000162444" 1
"132" "chr1" 10490159 10512210 "APITD1-CORT" "ENSG00000251503" 1
"133" "chr1" 10509776 10511959 "CORT" "ENSG00000241563" 1
"136" "chr1" 10696661 10856707 "CASZ1" "ENSG00000130940" -1
"137" "chr1" 11006528 11042094 "C1orf127" "ENSG00000175262" -1
"139" "chr1" 11086580 11107290 "MASP2" "ENSG00000009724" -1
"143" "chr1" 11249398 11256038 "ANGPTL7" "ENSG00000171819" 1
"144" "chr1" 11333263 11356106 "UBIAD1" "ENSG00000120942" 1
