"chrom" "chromStart" "chromEnd" "Type" "Site" "Start.37" "End.37"
"1" "chr1" 10001 27927413 "Common" "FRA1A" 10001 27927413
"2" "chr1" 51527413 61127412 "Common" "FRA1B" 51527413 61127412
"3" "chr1" 68927413 69727412 "Common" "FRA1C" 68927413 69727412
"4" "chr1" 84927413 94727412 "Common" "FRA1D" 84927413 94727412
"5" "chr1" 94727413 99627412 "Rare" "FRA1M" 94727413 99627412
"6" "chr1" 99627413 102227412 "Common" "FRA1E" 99627413 102227412
"7" "chr1" 128000001 142400000 "Common" "FRA1J" 128000001 142400000
"8" "chr1" 142400001 155033376 "Common" "FRA1F" 142400001 155033376
"9" "chr1" 172933378 176033377 "Common" "FRA1G" 172933378 176033377
"10" "chr1" 185733378 199233377 "Common" "FRA1K" 185733378 199233377
"11" "chr1" 185733378 199233377 "Common" "FRA1L" 185733378 199233377
"12" "chr1" 224033378 236533377 "Common" "FRA1H" 224033378 236533377
"13" "chr1" 243633378 247249719 "Common" "FRA1I" 243633378 247249719
"14" "chr2" 17136520 19236519 "Common" "FRA2C" 17136520 19236519
"15" "chr2" 52846497 54946496 "Common" "FRA2D" 52846497 54946496
"16" "chr2" 70646497 75546492 "Common" "FRA2E" 70646497 75546492
"17" "chr2" 83846490 91636273 "Rare" "FRA2L" 83846490 91636273
"18" "chr2" 96336274 102733568 "Rare" "FRA2A" 96336274 102733568
"19" "chr2" 109233569 114083530 "Rare" "FRA2B" 109233569 114083530
"20" "chr2" 135083531 136883530 "Common" "FRA2F" 135083531 136883530
"21" "chr2" 144983531 148683530 "Rare" "FRA2K" 144983531 148683530
"22" "chr2" 169791755 182991755 "Common" "FRA2G" 169791755 182991755
"23" "chr2" 182991756 189391755 "Common" "FRA2H" 182991756 189391755
"24" "chr2" 197391756 209391755 "Common" "FRA2I" 197391756 209391755
"25" "chr2" 237335262 242951149 "Common" "FRA2J" 237335262 242951149
"26" "chr3" 23824997 26424996 "Common" "FRA3A" 23824997 26424996
"27" "chr3" 58524961 63724960 "Common" "FRA3B" 58524961 63724960
"28" "chr3" 148917311 159717306 "Common" "FRA3D" 148917311 159717306
"29" "chr3" 182717307 187917306 "Common" "FRA3C" 182717307 187917306
"30" "chr4" 5149100 11290902 "Common" "FRA4A" 5149100 11290902
"31" "chr4" 11290903 35823605 "Common" "FRA4D" 11290903 35823605
"32" "chr4" 52705244 59505243 "Common" "FRA4B" 52705244 59505243
"33" "chr4" 87980977 98880977 "Common" "FRA4F" 87980977 98880977
"34" "chr4" 120380553 123780550 "common" "FRA4E" 120380553 123780550
"35" "chr4" 139280551 141480550 "Common" "FRA4C" 139280551 141480550
"36" "chr5" 18464244 29264243 "Common" "FRA5E" 18464244 29264243
"37" "chr5" 29264244 42364243 "Common" "FRA5A" 29264244 42364243
"38" "chr5" 50464244 62964244 "Common" "FRA5H" 50464244 62964244
"39" "chr5" 91874245 97274244 "Common" "FRA5D" 91874245 97274244
"40" "chr5" 91874245 97274244 "Common" "FRA5B" 91874245 97274244
"41" "chr5" 97274245 109572101 "Common" "FRA5F" 97274245 109572101
