"chr" "chromStart" "chromEnd" "hgnc_symbol" "ensembl_gene_id" "strand"
"18" "chr1" 1152288 1167411 "SDF4" "ENSG00000078808" -1
"21" "chr1" 1189289 1209265 "UBE2J2" "ENSG00000160087" -1
"25" "chr1" 1246965 1260071 "CPSF3L" "ENSG00000127054" -1
"29" "chr1" 1288069 1297157 "MXRA8" "ENSG00000162576" -1
"30" "chr1" 1309110 1310875 "AURKAIP1" "ENSG00000175756" -1
"31" "chr1" 1321091 1334708 "CCNL2" "ENSG00000221978" -1
"32" "chr1" 1337288 1342693 "MRPL20" "ENSG00000242485" -1
"40" "chr1" 1477053 1510249 "SSU72" "ENSG00000160075" -1
"46" "chr1" 1592939 1624167 "SLC35E2B" "ENSG00000189339" -1
"47" "chr1" 1634169 1655766 "CDK11A" "ENSG00000008128" -1
"48" "chr1" 1656277 1677431 "SLC35E2" "ENSG00000215790" -1
"49" "chr1" 1682671 1711896 "NADK" "ENSG00000008130" -1
"50" "chr1" 1716729 1822495 "GNB1" "ENSG00000078369" -1
"55" "chr1" 1981909 2116834 "PRKCZ" "ENSG00000067606" 1
"58" "chr1" 2160134 2241558 "SKI" "ENSG00000157933" 1
"60" "chr1" 2323267 2336883 "RER1" "ENSG00000157916" 1
"65" "chr1" 2487078 2496821 "TNFRSF14" "ENSG00000157873" 1
"73" "chr1" 3541566 3546691 "TPRG1L" "ENSG00000158109" 1
"78" "chr1" 3696784 3713068 "LRRC47" "ENSG00000130764" -1
"79" "chr1" 3728645 3773778 "CEP104" "ENSG00000116198" -1
"84" "chr1" 6051526 6161253 "KCNAB2" "ENSG00000069424" 1
"86" "chr1" 6241329 6269449 "RPL22" "ENSG00000116251" -1
"88" "chr1" 6281253 6296032 "ICMT" "ENSG00000116237" -1
"96" "chr1" 6581407 6614595 "NOL9" "ENSG00000162408" -1
"101" "chr1" 6684926 6695646 "THAP3" "ENSG00000041988" 1
"102" "chr1" 6694228 6761984 "DNAJC11" "ENSG00000007923" -1
"103" "chr1" 6845384 7829766 "CAMTA1" "ENSG00000171735" 1
"104" "chr1" 7831329 7841492 "VAMP3" "ENSG00000049245" 1
"108" "chr1" 8014351 8045565 "PARK7" "ENSG00000116288" 1
"109" "chr1" 8064464 8086368 "ERRFI1" "ENSG00000116285" -1
"111" "chr1" 8412457 8877702 "RERE" "ENSG00000142599" -1
"112" "chr1" 8921061 8939308 "ENO1" "ENSG00000074800" -1
"123" "chr1" 9789084 9884584 "CLSTN1" "ENSG00000171603" -1
"125" "chr1" 9982173 10003465 "LZIC" "ENSG00000162441" -1
"128" "chr1" 10092890 10241297 "UBE4B" "ENSG00000130939" 1
"129" "chr1" 10270863 10441661 "KIF1B" "ENSG00000054523" 1
"130" "chr1" 10458649 10480201 "PGD" "ENSG00000142657" 1
"131" "chr1" 10490159 10512210 "APITD1" "ENSG00000175279" 1
"134" "chr1" 10516579 10532583 "DFFA" "ENSG00000160049" -1
"135" "chr1" 10532345 10690815 "PEX14" "ENSG00000142655" 1
"138" "chr1" 11072414 11085796 "TARDBP" "ENSG00000120948" 1
"140" "chr1" 11114641 11120081 "SRM" "ENSG00000116649" -1
"141" "chr1" 11126675 11159938 "EXOSC10" "ENSG00000171824" -1
"142" "chr1" 11166592 11322564 "MTOR" "ENSG00000198793" -1
"151" "chr1" 11796141 11814859 "AGTRAP" "ENSG00000177674" 1
"158" "chr1" 11994262 12035595 "PLOD1" "ENSG00000083444" 1
"159" "chr1" 12040238 12073571 "MFN2" "ENSG00000116688" 1
"163" "chr1" 12290124 12572099 "VPS13D" "ENSG00000048707" 1
"164" "chr1" 12627939 12677737 "DHRS3" "ENSG00000162496" -1
"192" "chr1" 13909960 13944452 "PDPN" "ENSG00000162493" 1
"193" "chr1" 14026693 14151574 "PRDM2" "ENSG00000116731" 1
"203" "chr1" 15853308 15918874 "DNAJC16" "ENSG00000116138" 1
"205" "chr1" 15943995 15995539 "DDI2" "ENSG00000197312" 1
"209" "chr1" 16083102 16113089 "FBLIM1" "ENSG00000162458" 1
"210" "chr1" 16174359 16266955 "SPEN" "ENSG00000065526" 1
"222" "chr1" 16679070 16724640 "SZRD1" "ENSG00000055070" 1
"224" "chr1" 16767167 16786573 "NECAP2" "ENSG00000157191" 1
"226" "chr1" 16888814 16940057 "NBPF1" "ENSG00000219481" -1
"230" "chr1" 17300997 17307330 "MFAP2" "ENSG00000117122" -1
"231" "chr1" 17312453 17338423 "ATP13A2" "ENSG00000159363" -1
"232" "chr1" 17345217 17380665 "SDHB" "ENSG00000117118" -1
"237" "chr1" 17733256 17766220 "RCC2" "ENSG00000179051" -1
"246" "chr1" 19401000 19536770 "UBR4" "ENSG00000127481" -1
"247" "chr1" 19542158 19578046 "EMC1" "ENSG00000127463" -1
"250" "chr1" 19630459 19638640 "AKR7A2" "ENSG00000053371" -1
"252" "chr1" 19665267 19812066 "CAPZB" "ENSG00000077549" -1
"254" "chr1" 19923477 19956314 "MINOS1" "ENSG00000173436" 1
"255" "chr1" 19967048 19984945 "NBL1" "ENSG00000158747" 1
"272" "chr1" 20959948 20978004 "PINK1" "ENSG00000158828" 1
"273" "chr1" 20978270 20988000 "DDOST" "ENSG00000244038" -1
"276" "chr1" 21069154 21113816 "HP1BP3" "ENSG00000127483" -1
"277" "chr1" 21132963 21503377 "EIF4G3" "ENSG00000075151" -1
"278" "chr1" 21543740 21671997 "ECE1" "ENSG00000117298" -1
"282" "chr1" 22004791 22110099 "USP48" "ENSG00000090686" -1
"284" "chr1" 22148738 22263790 "HSPG2" "ENSG00000142798" -1
"287" "chr1" 22379120 22419437 "CDC42" "ENSG00000070831" 1
"291" "chr1" 22962999 22966101 "C1QA" "ENSG00000173372" 1
"292" "chr1" 22970123 22974603 "C1QC" "ENSG00000159189" 1
"293" "chr1" 22979255 22988031 "C1QB" "ENSG00000173369" 1
"296" "chr1" 23345941 23410182 "KDM1A" "ENSG00000004487" 1
"297" "chr1" 23410516 23504301 "LUZP1" "ENSG00000169641" -1
"299" "chr1" 23630264 23670829 "HNRNPR" "ENSG00000125944" -1
"300" "chr1" 23685941 23695935 "ZNF436" "ENSG00000125945" -1
"302" "chr1" 23707554 23751233 "TCEA3" "ENSG00000204219" -1
"307" "chr1" 24018269 24022915 "RPL11" "ENSG00000142676" 1
"308" "chr1" 24069645 24088549 "TCEB3" "ENSG00000011007" 1
"309" "chr1" 24104895 24114722 "PITHD1" "ENSG00000057757" 1
"311" "chr1" 24122089 24127271 "GALE" "ENSG00000117308" -1
"312" "chr1" 24128375 24165110 "HMGCL" "ENSG00000117305" -1
"313" "chr1" 24171567 24194784 "FUCA1" "ENSG00000179163" -1
"315" "chr1" 24285599 24289952 "PNRC2" "ENSG00000189266" 1
"316" "chr1" 24291294 24307417 "SRSF10" "ENSG00000188529" -1
"325" "chr1" 24958207 24999758 "SRRM1" "ENSG00000133226" 1
"326" "chr1" 25071848 25170815 "CLIC4" "ENSG00000169504" 1
"328" "chr1" 25549170 25558993 "SYF2" "ENSG00000117614" -1
"329" "chr1" 25568728 25664704 "C1orf63" "ENSG00000117616" -1
"331" "chr1" 25664408 25688852 "TMEM50A" "ENSG00000183726" 1
"333" "chr1" 25757388 25826700 "TMEM57" "ENSG00000204178" 1
"336" "chr1" 26126667 26144713 "SEPN1" "ENSG00000162430" 1
"337" "chr1" 26145131 26159432 "MTFR1L" "ENSG00000117640" 1
"340" "chr1" 26210672 26233482 "STMN1" "ENSG00000117632" -1
"341" "chr1" 26286258 26324648 "PAFAH2" "ENSG00000158006" -1
"351" "chr1" 26605667 26608007 "SH3BGRL3" "ENSG00000142669" 1
