"","X","chr","chromStart","chromEnd","hgnc_symbol","ensembl_gene_id","strand"
"1",3010,"1",69091,70008,"OR4F5","ENSG00000186092",1
"2",3014,"1",134901,139379,"AL627309.1","ENSG00000237683",-1
"3",3018,"1",367640,368634,"OR4F29","ENSG00000235249",1
"4",3022,"1",621059,622053,"OR4F16","ENSG00000185097",-1
"5",3042,"1",860260,879955,"SAMD11","ENSG00000187634",1
"6",3244,"1",879584,894689,"NOC2L","ENSG00000188976",-1
"7",3311,"1",895967,901095,"KLHL17","ENSG00000187961",1
"8",3367,"1",901877,911245,"PLEKHN1","ENSG00000187583",1
"9",3427,"1",910579,917497,"C1orf170","ENSG00000187642",-1
"10",3482,"1",934342,935552,"HES4","ENSG00000188290",-1
"11",3500,"1",948803,949920,"ISG15","ENSG00000187608",1
"12",3525,"1",955503,991496,"AGRN","ENSG00000188157",1
"13",3730,"1",1006346,1009687,"RNF223","ENSG00000237330",-1
"14",3780,"1",1017198,1051741,"C1orf159","ENSG00000131591",-1
"15",4002,"1",1109264,1133315,"TTLL10","ENSG00000162571",1
"16",4191,"1",1138888,1142071,"TNFRSF18","ENSG00000186891",-1
"17",4220,"1",1146706,1149518,"TNFRSF4","ENSG00000186827",-1
"19",4426,"1",1167629,1170421,"B3GALT6","ENSG00000176022",1
"20",4433,"1",1177826,1182102,"FAM132A","ENSG00000184163",-1
"22",4736,"1",1215816,1227409,"SCNN1D","ENSG00000162572",1
"23",4899,"1",1227756,1244989,"ACAP3","ENSG00000131584",-1
"24",5134,"1",1243947,1247057,"PUSL1","ENSG00000169972",1
"26",5795,"1",1260136,1264277,"GLTPD1","ENSG00000224051",1
"27",5846,"1",1266694,1270686,"TAS1R3","ENSG00000169962",1
"28",5872,"1",1270656,1284730,"DVL1","ENSG00000107404",-1
"33",6556,"1",1353800,1357149,"ANKRD65","ENSG00000235098",-1
"34",6626,"1",1361508,1363167,"TMEM88B","ENSG00000205116",1
"35",6630,"1",1370241,1378262,"VWA1","ENSG00000179403",1
"36",6649,"1",1385069,1405538,"ATAD3C","ENSG00000215915",1
"37",6670,"1",1407143,1433228,"ATAD3B","ENSG00000160072",1
"38",6900,"1",1447531,1470067,"ATAD3A","ENSG00000197785",1
"39",6972,"1",1470554,1475833,"TMEM240","ENSG00000205090",-1
"41",7024,"1",1510355,1511373,"AL645728.1","ENSG00000215014",1
"42",7027,"1",1533392,1535476,"C1orf233","ENSG00000228594",-1
"43",7197,"1",1550795,1565990,"MIB2","ENSG00000197530",1
"44",7632,"1",1567474,1570639,"MMP23B","ENSG00000189409",1
"45",7752,"1",1570603,1590473,"CDK11B","ENSG00000248333",-1
"51",8741,"1",1846266,1848735,"CALML6","ENSG00000169885",1
"52",8758,"1",1849029,1850712,"TMEM52","ENSG00000178821",-1
"53",8779,"1",1853396,1935276,"C1orf222","ENSG00000142609",-1
"54",8814,"1",1950780,1962192,"GABRD","ENSG00000187730",1
"56",9077,"1",2115903,2144159,"C1orf86","ENSG00000162585",-1
"59",9196,"1",2252692,2323146,"MORN1","ENSG00000116151",-1
"61",9338,"1",2336236,2345236,"PEX10","ENSG00000157911",-1
"62",9413,"1",2357419,2436969,"PLCH2","ENSG00000149527",1
"63",9589,"1",2439972,2458039,"PANK4","ENSG00000157881",-1
"64",9626,"1",2460184,2461684,"HES5","ENSG00000197921",-1
"66",9815,"1",2517930,2522908,"FAM213B","ENSG00000157870",1
"67",9860,"1",2522078,2564481,"MMEL1","ENSG00000142606",-1
"68",9991,"1",2567415,2718286,"TTC34","ENSG00000215912",-1
"69",9996,"1",2938046,2939465,"ACTRT2","ENSG00000169717",1
"70",10039,"1",2985732,3355185,"PRDM16","ENSG00000142611",1
"71",10150,"1",3370990,3397677,"ARHGEF16","ENSG00000130762",1
"72",10186,"1",3406484,3528059,"MEGF6","ENSG00000162591",-1
"74",10288,"1",3547331,3569325,"WRAP73","ENSG00000116213",-1
"75",10435,"1",3569084,3652765,"TP73","ENSG00000078900",1
"76",10553,"1",3668962,3688209,"CCDC27","ENSG00000162592",1
"77",10593,"1",3689352,3692546,"SMIM1","ENSG00000235169",1
"80",10723,"1",3773845,3801993,"DFFB","ENSG00000169598",1
"81",10941,"1",3805689,3816857,"C1orf174","ENSG00000198912",-1
"82",10951,"1",4714792,4852594,"AJAP1","ENSG00000196581",1
